순위,국가명,HS코드,품목명,카테고리,2025년수출액($),2026성공확률(%),2026성공예측
1,JP,2206002020,약주,제22류_일반음료,414,92.09,증가
2,JP,2101111000,인스턴트 커피,제21류_기능성/혼합음료,19453,92.06,증가
3,JP,2202910000,알코올을 함유하지 않은 맥주,제22류_일반음료,0,91.55,증가
4,JP,2008995090,기타,제20류_과일농축음료,28666,91.22,증가
5,JP,2209001000,양조식초,제22류_일반음료,68135,91.07,증가
6,JP,2101209090,기타,제21류_기능성/혼합음료,1509,90.61,증가
7,JP,2104109000,기타,제21류_기능성/혼합음료,93402,89.57,증가
8,JP,0410909000,기타,제04류_우유류,6450,88.76,증가
9,JP,2202993000,식혜,제22류_일반음료,63,86.23,증가
10,JP,2009399000,기타,제20류_과일농축음료,6867,86.12,증가
11,JP,2103909090,기타,제21류_기능성/혼합음료,880092,86.08,증가
12,JP,0403201000,액체 상태인 것,제04류_우유류,11,85.25,증가
13,JP,2008191000,밤,제20류_과일농축음료,0,84.86,증가
14,JP,0404902000,지방분이 전 중량의 100분의 1.5를 초과하는 것,제04류_우유류,1008476,84.76,증가
15,JP,2101129010,밀크ㆍ크림 또는 이들의 대용물을 함유한 것,제21류_기능성/혼합음료,992,84.66,증가
16,JP,2009891010,복숭아주스,제20류_과일농축음료,0,82.89,증가
17,JP,0406300000,가공치즈(갈았거나 가루 모양의 것은 제외한다),제04류_우유류,0,82.8,증가
18,JP,2006009090,기타,제20류_과일농축음료,0,81.9,증가
19,JP,2106902000,당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다],제21류_기능성/혼합음료,17,81.88,증가
20,JP,2102203010,태블릿(tablet) 모양의 것,제21류_기능성/혼합음료,0,81.25,증가
21,JP,2001909060,마늘,제20류_과일농축음료,0,81.12,증가
22,JP,2208909000,기타,제22류_일반음료,65527,80.97,증가
23,JP,2104101000,육류로 만든 것,제21류_기능성/혼합음료,66243,80.01,증가
24,JP,2101209019,기타,제21류_기능성/혼합음료,0,77.74,증가
