순위,국가명,HS코드,품목명,카테고리,2025년수출액($),2026성공확률(%),2026성공예측
1,US,2202999000,기타,제22류_일반음료,4043865,97.58,증가
2,US,2202991000,인삼음료,제22류_일반음료,42290,97.56,증가
3,US,2008191000,밤,제20류_과일농축음료,12590,96.92,증가
4,US,2106902000,당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다],제21류_기능성/혼합음료,0,96.84,증가
5,US,2009891090,기타,제20류_과일농축음료,21933,96.71,증가
6,US,2008995090,기타,제20류_과일농축음료,214776,96.39,증가
7,US,2004909000,기타,제20류_과일농축음료,9652,95.86,증가
8,US,2008999000,기타,제20류_과일농축음료,316290,95.79,증가
9,US,2001909090,기타,제20류_과일농축음료,123272,95.77,증가
10,US,2104103000,채소로 만든 것,제21류_기능성/혼합음료,119385,95.75,증가
11,US,2202993000,식혜,제22류_일반음료,41753,95.55,증가
12,US,2007991000,잼ㆍ과실젤리와 마멀레이드(marmalade),제20류_과일농축음료,3254,95.0,증가
13,US,2001909060,마늘,제20류_과일농축음료,1466,94.7,증가
14,US,2106909010,커피크리머,제21류_기능성/혼합음료,534,94.53,증가
15,US,2101129010,밀크ㆍ크림 또는 이들의 대용물을 함유한 것,제21류_기능성/혼합음료,648738,94.05,증가
16,US,2103909040,메주,제21류_기능성/혼합음료,2628,93.79,증가
17,US,0407900000,기타,제04류_우유류,0,93.78,증가
18,US,2206002030,탁주,제22류_일반음료,150381,93.76,증가
19,US,2206001090,기타,제22류_일반음료,41447,93.33,증가
20,US,2005400000,완두[피섬 새티범(Pisum sativum)],제20류_과일농축음료,7153,93.08,증가
21,US,2103100000,간장,제21류_기능성/혼합음료,228284,93.02,증가
22,US,2209001000,양조식초,제22류_일반음료,67692,92.89,증가
23,US,2103302000,조제한 겨자,제21류_기능성/혼합음료,3981,92.44,증가
24,US,2202101000,색깔을 입힌 것,제22류_일반음료,58264,92.43,증가
25,US,2005999000,기타,제20류_과일농축음료,321793,92.03,증가
26,US,0406909000,기타,제04류_우유류,0,91.82,증가
27,US,2208701000,인삼주,제22류_일반음료,0,89.93,증가
