순위,국가명,HS코드,품목명,카테고리,2025년수출액($),2026성공확률(%),2026성공예측
1,VN,2106109020,단백질 농축물,제21류_기능성/혼합음료,0,93.71,증가
2,VN,2008971090,기타,제20류_과일농축음료,0,91.97,증가
3,VN,2106109030,텍스처화한(textured) 단백질계 물질,제21류_기능성/혼합음료,2754,91.92,증가
4,VN,2008701000,설탕을 첨가하여 밀폐용기에 넣은 것,제20류_과일농축음료,682,91.18,증가
5,VN,2008600000,체리,제20류_과일농축음료,76,90.87,증가
6,VN,2104102000,어류로 만든 것,제21류_기능성/혼합음료,209,90.49,증가
7,VN,2105001090,기타,제21류_기능성/혼합음료,178229,89.88,증가
8,VN,2106903029,기타,제21류_기능성/혼합음료,595035,89.2,증가
9,VN,2105009010,코코아를 함유하지 않은 것,제21류_기능성/혼합음료,564,88.99,증가
10,VN,0403201000,액체 상태인 것,제04류_우유류,351,88.11,증가
11,VN,2202992000,과실주스 음료,제22류_일반음료,66849,88.08,증가
12,VN,2206002030,탁주,제22류_일반음료,18073,87.51,증가
13,VN,2005519000,기타,제20류_과일농축음료,763,86.3,증가
14,VN,2207200000,변성 에틸알코올과 그 밖의 변성 주정(알코올의 용량은 상관없다),제22류_일반음료,290,86.26,증가
15,VN,0402290000,기타,제04류_우유류,3725,86.17,증가
16,VN,2008995090,기타,제20류_과일농축음료,4115,85.87,증가
17,VN,0402999000,기타,제04류_우유류,116,85.34,증가
18,VN,2207109090,기타,제22류_일반음료,94,85.27,증가
19,VN,2005700000,올리브,제20류_과일농축음료,0,84.88,증가
20,VN,2102201000,불활성 효모,제21류_기능성/혼합음료,85,84.43,증가
21,VN,2009901020,사과주스를 주요 재료로 만든 것,제20류_과일농축음료,673,84.21,증가
22,VN,0403209000,기타,제04류_우유류,8012,83.97,증가
23,VN,2106909010,커피크리머,제21류_기능성/혼합음료,397835,83.39,증가
24,VN,2206002020,약주,제22류_일반음료,7264,82.73,증가
25,VN,2106903011,인삼차,제21류_기능성/혼합음료,17559,80.16,증가
26,VN,2101201000,설탕ㆍ레몬이나 이들의 대용물을 함유한 것,제21류_기능성/혼합음료,1325,79.69,증가
27,VN,2103909010,마요네스,제21류_기능성/혼합음료,1888,79.22,증가
28,VN,2206002090,기타,제22류_일반음료,13287,78.73,증가
29,VN,2005999000,기타,제20류_과일농축음료,23750,78.49,증가
30,VN,2008995010,김,제20류_과일농축음료,1801071,78.47,증가
31,VN,2202999000,기타,제22류_일반음료,2664252,78.23,증가
32,VN,2009901090,기타,제20류_과일농축음료,0,77.81,증가
33,VN,2008200000,파인애플,제20류_과일농축음료,0,77.77,증가
34,VN,2008309000,기타,제20류_과일농축음료,0,77.53,증가
35,VN,2101209090,기타,제21류_기능성/혼합음료,1081,77.46,증가
36,VN,2208909000,기타,제22류_일반음료,690,77.45,증가
37,VN,2202993000,식혜,제22류_일반음료,992,76.84,증가
38,VN,2106903019,기타,제21류_기능성/혼합음료,36389,76.52,증가
39,VN,2008119000,기타,제20류_과일농축음료,0,76.07,증가
40,VN,2009690000,기타,제20류_과일농축음료,2491,74.57,증가
41,VN,2103901010,된장,제21류_기능성/혼합음료,40355,74.48,증가
42,VN,2106909060,도토리 가루,제21류_기능성/혼합음료,910,74.36,증가
43,VN,2206009090,기타,제22류_일반음료,2649,74.05,증가
44,VN,2209001000,양조식초,제22류_일반음료,30995,73.64,증가
45,VN,2008993000,팝콘,제20류_과일농축음료,0,73.0,증가
46,VN,2208301000,스카치 위스키,제22류_일반음료,39069,72.95,증가
47,VN,0403202000,냉동한 것,제04류_우유류,26193,72.94,증가
48,VN,2005512000,팥,제20류_과일농축음료,1095,72.08,증가
49,VN,0402101010,탈지(脫脂)분유,제04류_우유류,91,71.6,증가
50,VN,2101209019,기타,제21류_기능성/혼합음료,0,70.13,증가
51,VN,2208701000,인삼주,제22류_일반음료,1330,69.76,증가
52,VN,2104101000,육류로 만든 것,제21류_기능성/혼합음료,5450,69.59,증가
53,VN,2103201000,토마토 케첩,제21류_기능성/혼합음료,1365,69.53,증가
54,VN,2005209000,기타,제20류_과일농축음료,760,69.47,증가
55,VN,2106909080,"음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다]",제21류_기능성/혼합음료,0,69.36,증가
56,VN,2106909099,기타,제21류_기능성/혼합음료,4664872,68.01,증가
57,VN,0406101010,모차렐라 치즈(Mozzarella cheese),제04류_우유류,1773,66.87,증가
58,VN,2208904000,소주,제22류_일반음료,420726,66.5,증가
59,VN,2005991000,김치,제20류_과일농축음료,21005,63.13,증가
60,VN,2101309000,기타,제21류_기능성/혼합음료,150,62.66,증가
61,VN,2101129090,기타,제21류_기능성/혼합음료,0,62.27,증가
62,VN,2106901020,과일향의 음료베이스,제21류_기능성/혼합음료,24381,62.25,증가
63,VN,2008301000,유자,제20류_과일농축음료,38524,61.88,증가
64,VN,2102209000,기타,제21류_기능성/혼합음료,0,61.76,증가
65,VN,0406909000,기타,제04류_우유류,76513,61.76,증가
66,VN,2009311000,레몬주스,제20류_과일농축음료,37,60.01,증가
67,VN,2202101000,색깔을 입힌 것,제22류_일반음료,37276,57.28,증가
68,VN,2103909090,기타,제21류_기능성/혼합음료,1112605,57.06,증가
69,VN,2106901090,기타,제21류_기능성/혼합음료,41317,56.9,증가
70,VN,2009610000,브릭스(Brix) 값이 30 이하인 것,제20류_과일농축음료,0,56.87,증가
71,VN,2202991000,인삼음료,제22류_일반음료,813414,55.67,증가
72,VN,0401509000,기타,제04류_우유류,50,55.0,증가
73,VN,2206002010,청주,제22류_일반음료,3395,54.66,증가
74,VN,2008191000,밤,제20류_과일농축음료,1736,54.48,증가
75,VN,2008800000,초본류 딸기,제20류_과일농축음료,2638,53.75,증가
76,VN,2003901000,표고버섯,제20류_과일농축음료,0,53.01,증가
77,VN,2008991000,포도,제20류_과일농축음료,0,51.97,증가
78,VN,2101111000,인스턴트 커피,제21류_기능성/혼합음료,511286,50.25,증가
79,VN,0406200000,갈았거나 가루 모양으로 한 모든 종류의 치즈,제04류_우유류,0,50.21,증가
80,VN,2103202000,그 밖의 토마토 소스,제21류_기능성/혼합음료,1171,48.94,증가
81,VN,2201100000,광천수와 탄산수,제22류_일반음료,54998,48.84,증가
82,VN,2101121000,인스턴트 커피의 조제품,제21류_기능성/혼합음료,93020,48.73,증가
83,VN,2008999000,기타,제20류_과일농축음료,241860,48.3,증가
84,VN,2008111000,피넛 버터,제20류_과일농축음료,0,47.38,증가
85,VN,2101301000,보리의 것,제21류_기능성/혼합음료,6572,46.85,증가
86,VN,2008199000,기타,제20류_과일농축음료,61396,44.24,증가
87,VN,2009909000,기타,제20류_과일농축음료,12310,44.11,증가
88,VN,2102101000,양조효모,제21류_기능성/혼합음료,872,42.82,증가
89,VN,2202109000,기타,제22류_일반음료,59588,42.39,증가
90,VN,2005800000,스위트콘[자메이스 변종 사카라타(Zea mays var. saccharata)],제20류_과일농축음료,1265,41.66,증가
91,VN,2201909000,기타,제22류_일반음료,4020,41.19,증가
92,VN,2103100000,간장,제21류_기능성/혼합음료,146660,40.81,증가
93,VN,2106101000,두부,제21류_기능성/혼합음료,14349,40.4,증가
94,VN,2105009090,기타,제21류_기능성/혼합음료,5472,39.49,증가
95,VN,2005592000,팥,제20류_과일농축음료,20429,39.16,증가
96,VN,0401100000,지방분이 전 중량의 100분의 1 이하인 것,제04류_우유류,3420,39.05,증가
97,VN,2101209011,티백 포장의 것,제21류_기능성/혼합음료,5190,38.61,증가
98,VN,2103302000,조제한 겨자,제21류_기능성/혼합음료,2129,38.04,증가
99,VN,2001909090,기타,제20류_과일농축음료,10144,38.04,증가
100,VN,2009902000,채소로 만든 것,제20류_과일농축음료,0,37.77,증가
101,VN,2005599000,기타,제20류_과일농축음료,0,37.69,증가
102,VN,2106909030,아이스크림 제조용 조제품,제21류_기능성/혼합음료,9519,37.47,증가
103,VN,2008992000,사과,제20류_과일농축음료,8907,37.24,증가
104,VN,2102300000,조제한 베이킹 파우더,제21류_기능성/혼합음료,0,37.04,증가
105,VN,2001100000,오이류,제20류_과일농축음료,0,36.39,증가
106,VN,2009319000,기타,제20류_과일농축음료,0,34.89,감소
107,VN,2009399000,기타,제20류_과일농축음료,0,34.15,감소
108,VN,2006009090,기타,제20류_과일농축음료,0,34.05,감소
109,VN,2009710000,브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,3327,33.47,감소
110,VN,2103901020,춘장,제21류_기능성/혼합음료,29710,33.44,감소
111,VN,2009891090,기타,제20류_과일농축음료,6496,33.28,감소
112,VN,2101129010,밀크ㆍ크림 또는 이들의 대용물을 함유한 것,제21류_기능성/혼합음료,30440,32.3,감소
113,VN,2009892000,채소 주스,제20류_과일농축음료,0,32.11,감소
114,VN,2008979000,기타,제20류_과일농축음료,0,31.85,감소
115,VN,2002909000,기타,제20류_과일농축음료,0,31.01,감소
116,VN,2009500000,토마토주스,제20류_과일농축음료,0,30.98,감소
117,VN,2106909050,향미(香味)용 조제품,제21류_기능성/혼합음료,14300,30.86,감소
118,VN,2105001010,코코아를 함유하지 않은 것,제21류_기능성/혼합음료,48493,30.85,감소
119,VN,2007999000,기타,제20류_과일농축음료,15016,30.28,감소
120,VN,0406101090,기타,제04류_우유류,106,29.46,감소
121,VN,0409000000,천연꿀,제04류_우유류,0,27.81,감소
122,VN,2009790000,기타,제20류_과일농축음료,3852,26.0,감소
123,VN,2106903021,홍삼차,제21류_기능성/혼합음료,24334,25.33,감소
124,VN,0401409000,기타,제04류_우유류,22627,24.53,감소
125,VN,0401200000,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것,제04류_우유류,41831,23.93,감소
126,VN,2008709000,기타,제20류_과일농축음료,786,22.87,감소
127,VN,2104109000,기타,제21류_기능성/혼합음료,92503,22.24,감소
128,VN,2103909030,혼합조미료,제21류_기능성/혼합음료,199688,21.84,감소
129,VN,2103901030,고추장,제21류_기능성/혼합음료,539803,21.81,감소
130,VN,2101119000,기타,제21류_기능성/혼합음료,0,21.15,감소
