mm-yy,country,name_kr,count
Dec-24,JP,바나나우유,14
Dec-24,VN,바나나우유,32
Jan-25,JP,바나나우유,11
Jan-25,VN,바나나우유,31
Dec-24,US,바나나우유,202
Feb-25,JP,바나나우유,11
Jan-25,US,바나나우유,225
Feb-25,VN,바나나우유,30
Mar-25,JP,바나나우유,16
Feb-25,US,바나나우유,207
Mar-25,VN,바나나우유,47
Apr-25,JP,바나나우유,13
Mar-25,US,바나나우유,125
Apr-25,US,바나나우유,246
May-25,JP,바나나우유,25
May-25,VN,바나나우유,58
Apr-25,VN,바나나우유,57
Jun-25,JP,바나나우유,35
Jun-25,VN,바나나우유,55
Jul-25,US,바나나우유,213
Jul-25,JP,바나나우유,23
Jun-25,US,바나나우유,224
Jul-25,VN,바나나우유,49
Aug-25,JP,바나나우유,25
Aug-25,VN,바나나우유,52
May-25,US,바나나우유,325
Sep-25,JP,바나나우유,25
Sep-25,US,바나나우유,125
Sep-25,VN,바나나우유,56
Oct-25,JP,바나나우유,52
Oct-25,US,바나나우유,175
Oct-25,VN,바나나우유,48
Nov-25,JP,바나나우유,18
Nov-25,VN,바나나우유,47
Aug-25,US,바나나우유,465
Nov-25,US,바나나우유,569
