SE_ID,CTFCN_NM,HS_CODE,NTN_NM,CTFCN_TY_NM,TRGT_PDLT_CN,CTFCN_ISTN_RLT_INFO,NECE_PAPERS_CN,RQRM_PD_INFO,CTFCN_CT_INFO,CTFCN_DTL_INFO,RLT_LANRG_INFO,CTFCN_PRCD_INFO,INDC_ERA_INFO,VLD_PD_INFO
F01_Y2023_R00001,FSSAI(Food Safety and Standards Authority of India),190219,인도,현행,국수 및 라면,FSSAI(Food Safety and Standards Authority of India),인증 필요서류 1. 신청서 1부.  2. 실제 수출할 품목 샘플    통관시 필요서류 1. 수입자 Inport&Export Code 2. 원산지증명서 3. 샘플 FSSAI 인증서 4. 수입신고서 5. 제품 성분표 6. 제품 라벨링 사본  7. 상업송장 8. 포장명세서,3일,-,- FSSAI는 Food Safety and Standard 2006 법령에 의거해 창설되었으며  인도 보건복지부 (Ministry of Health and Family Welfare) 산하 정부기관임. - Food Safety and Standard Regulation 2017 규칙에 의거하여 식품의 제조  보관  유통  판매  수입과 관련된 절차와 규제사항을 운영,Food Safety and Standard Regulation 2017,1. 수입자 식품 수입 라이센스 신청  2. 수입자 식품 수입 라이센스 발급  3. 수출 물품 샘플 테스트 신청 4. 수출 물품 샘플 테스트 인증서 발급 5. 실품 수출 6. 보세구역에서 통관 전 실품 테스트(사전 샘플 테스트 인증과 비교 절차) 및 라벨링 규정 준수 확인 7. 실품 통관,2006년 Food Safety and Standard 법령에 의거하여 창설,2년
F01_Y2023_R00002,EAEU (EurAsian Economic Union)/CU인증 (Customs Union),209690,러시아연방,현행,1212210000- 바다  다른 조류  신선하고 냉각되고 얼어있거나 마르고  파쇄 되어 있거나 모양이 있어 소비에 적합한 자연 건조된 수초 및 해초,Eurasian Economic Commission,,1 일,2 100루블/ 1년 3 000루블/ 2년 3 800루블/ 3년 4 400루블/ 4년 5 500루블/ 5년,규정번호 N 184-FZ  기술에 대한 규정 을 정의한 러시아 연방 법률에 따라 마련된 관세동맹 통합인증제도로 공인기관에서 발급한 확인서로 증명,관세동맹 기술 규정  식량 생산의 안전 정보  (TR CU 021/2011) CCC No. 880(2011.09.12.)  식료품 정보의 표시  (TR CU 022/2011)   CCC No. 881(2011.09.12.),해외에서 제품시험(시험기관) ⇒ 해외에서 인증획득(인증기관),2013년 07월 01일,1/2/3/4/5년
F01_Y2023_R00003,Import Requirements of Specific Food Products,210390,싱가포르,현행,굴소스  생선소스  간장  토마토 케첩  와사비 등 유제품  해산물  채소를 포함한 소스레스 및/또는 과일 성분/추출물,-,-,-,-,소스류는 네거티브 리스트로 이루어진 품목별 수입요건(Import Requirements of Specific Food Products)에 규정된 품목(A to P)에 포함되지 않아 수출입에 제한이 없으며 이에 시험성적서 제출의 의무가 없음.  단  싱가포르 식품청(SFA)이 식품의 위험도에 따라 검사를 실시함에 따라 검사 및 샘플링 대상이 될 수 있음. 또한 Food Regulation에 따라 각종 화학 및 미생물 검출 테스트 등을 실시하고 있어 수입업자는 제품의 식품 규정 조건 준수 여부를 확인해야 함.,Food Regulations,소스류 수입에 있어서 별도의 강제 인증 절차 없음.,2020년 4월 23일 최신 업데이트,-
F01_Y2023_R00004,EAEU (EurAsian Economic Union)/CU인증 (Customs Union),220290,러시아연방,현행,비알콜음료,Eurasian Economic Commission,,1 일,2 100루블/ 1년 3 000루블/ 2년 3 800루블/ 3년 4 400루블/ 4년 5 500루블/ 5년,관세 동맹 TR의 CU 021/2011의 기술 규정  식료품 생산 안전 : 식품의 제조  저장  구현 및 이용  수송의 식품 생산 공정에 대한 요구,관세동맹 기술 규정  식량 생산의 안전 정보  (TR CU 021/2011) CCC No. 880 (2011.09.12.)   식료품 정보의 표시  (TR CU 022/2011)  CCC No. 881 (2011.09.12.),해외에서 제품시험(시험기관) ⇒ 해외에서 인증획득(인증기관),2013년 07월 01일,1~5년
F01_Y2023_R00005,EAEU (EurAsian Economic Union)/CU인증 (Customs Union),210390,러시아연방,현행,요리 소스  가공된 소스  향  조미료  혼합 양념으로 콩  콩으로 만든 소스  음식 양념 등의 오리엔탈 소스,Eurasian Economic Commission,EAEU인증마크 취득을 위한 필요서류     - 신청서(EAEU양식)    - 공장심사 성적서    - 제품시험 성적서    - 대리위임장(EAEU양식)    - 제품사진    - 제품설명서(러시아어),1 일,2 100 루블/ 1년 3 000 루블/ 2년 3 800 루블/ 3년 4 400 루블/ 4년 5 500 루블/ 5년,규정번호 N 184-FZ  기술에 대한 규정 을 정의한 러시아 연방 법률에 따라 마련된 관세동맹 통합인증제도로 공인기관에서 발급한 확인서로 증명,관세동맹 기술 규정  식량 생산의 안전 정보  (TR CU 021/2011) CCC No. 880(2011.09.12.)   식료품 정보의 표시  (TR CU 022/2011)  CCC No. 881(2011.09.12.),해외에서 제품시험(시험기관) ⇒ 해외에서 인증획득(인증기관),2013년 07월 01일,1~5년
F01_Y2023_R00006,ISO 22000(Food Safety Management System Certification),2202,스웨덴,현행,가공식품(과실 과일)  절임통조림  과실음료,SAI GLOBAL  한국 Bureau Veritas,,4-6주,인증항목 : 인증신청비 및 심사비용 포함 (제조업체의 인원수에 따라 심사비용이 다름.) 인증비용 : 700만원(5M/D 기준) ( M/D: 1M/D= 1명의 심사원이 1일 심사하는 비용 (하루 기준 8시간임.)),국제식품안전기구(GFSI)에서 식품산업 전반에 적합한 식품안전 인증제도를 정의하기 위해 널리 채택되는 기준을 통합하여 개발된 제도  식품안전 효과성  효율성 증진 및 HACCP에 기반한 위해요소분석  리스크 관리 방법론 등을 가지며 전 세계적으로 통용되는 식품안전 인증제도,-,식품안전경영시스템인증 시스템인증으로 국내 관련 기관에서 인증 획득,2004년,3년
F01_Y2023_R00007,무역업자 라이선스/등록 제도,190230,싱가포르,현행,국수 및 파스타 등 면류,싱가포르 식품청(Singapore Food Agency  SFA),,1일,무료,가공식품의 싱가포르 수입  수출  운송을 위해서는 싱가포르 식품청(SFA)에 업자등록(registration)을 마쳐야 함.,Sales of Food Act  Food Regulation,- GoBusiness Licensing 웹사이트 통해 가공식품 수입업자 등록(Registration to Import Processed Food Products and Food Appliances) (https://www.gobusiness.gov.sg/licences) - 가공식품 수입업자 등록비용 없음 - 소요기간 1일(one working day),1998,1년
F01_Y2023_R00008,인증은 없으나 필수적인 샘플검사 진행,220290,몽골,현행,비알코올음료,전문 감사청,-,-,-,-,-,-,-,-
F01_Y2023_R00009,특수 의학용 조제식품(FSMP) 등록 규정,210690,중국,현행,저인산분유  저유당분유  미숙아분유 등,국가시장감독관리총국 식품심사센터(?家市??督管理?局食品??中心)  국가시장감독관리총국 (?家市??督管理?局),1. 특수의학용도조제식품 등록 신청서； 2. 제품 연구보고 및 제품배합 설계에 대한 근거； 3. 생산공정 자료； 4. 제품 표준 요구； 5. 제품 라벨  설명서 디자인 견본； 6. 시험 샘플 검사보고서； 7. 연구개발  생산 및 검사 능력에 대한 증명 자료； 8. 특정 전 영양조제식품( 신청하면 임상시험보고 제출； 9. 등록신청 관련의 증명성 문서,약 1년~2년 특정 전 영양 배합식품(特定全??配方食品)은 임상실험이 필요하여 3년 이상 필요,별도 인증비용 없음.,중국에서 가장 엄격하게 관리  감독하는 식품유형으로 중국에서 특수분유를 판매하기 위해서는 반드시 국가시장감독관리총국 (?家市??督管理?局)에서 특수 의학용 조제식품(FSMP) 등록을 진행하여 함.,중화인민공화국 식품안전법(中華人民共和國食品安全法)  특수 의학용 조제식품(FSMP) 등록 제도  관리방법(特殊??用途配方食品注?管理?法),1.신청   2. 수리   3. 기술심사평가(필요에 따라 생산현장 심사  샘플검사 임상실험현장 심사) 4.기술심사비준  5.인허가 결정 6.등록증 제작 및 발급,2016년 07월 01일,5년  만기 6개월 전에 연장 신청
F01_Y2023_R00010,생산시설의 위생안전관리 제도(Regulated Source Programme),209690,싱가포르,현행,미역(Seaweed),싱가포르 식품청에서 인정하는 안전관리인증기준 문서의 예:  - Certificate of HACCP (Hazard Analysis Critical Control Point) - Certificate of GMP (Good Manufacturing Practices) - Health Certificate (issued by competent food or veterinary authority of exporting country or region) - Attestation of export (issued by competent food or veterinary authority of exporting country or region) - Factory licence (issued by regulatory authority of the exporting country or region),-,-,-,- 싱가포르의 모든 상업적 식품 수입은 승인국가(approved country)의 승인된 기관(accredited food establishments)에서 생산된 제품만 수입이 가능함. 또한  싱가포르식품협회에 등록 혹은 라이선스를 보유한 거래업자에게만 식품의 상업적 수송이 허가됨  - Regulated Source Programme에 따라 수입하려는 가공식품이 아래의 조건을 갖춘 시설에서 생산되었다는 것을 입증해야 함  1) 수출국 또는 지역의 식품 당국의 적법한 검사절차 보유  또는 2) 싱가포르 식품청의 기준에 걸맞는 품질 보증 프로그램 보유  - 싱가포르 식품청의 별도 요구 시  수입업자들은 위의 수입품이 규제된 생산시설(regulated establishment) 내 위생적인 환경에서 생산되었다는 증명 서류를 제출해야 함,Sale of Food Act  Singapore Food Regulations,1단계: 가공식품 생산시설의 위생안전관리기준 준수(Import from regulated establishments) - 싱가포르 식품청이 요구할 경우 이메일(sfa_import&export_foodstuff@sfa.gov.sg) 송부 또는 TradeNet(https://www.tradenet.gov.sg/tradenet/login.jsp)을 통해 관련 서류 제출 2단계: 인증된 시험소를 통한 제품 성적서 발급 (강제사항 아님) (Send products to accredited laboratories for analysis) 3단계: 가공식품의 모든 첨가물 및 성분 관련 식품청 규제 준수(Ensure food additives and ingredients are allowed by SFA) 4단계: 고위험제품의 경우 필요서류 제출(Submit required documents for high risk products) - 고위험 품목 리스트 및 필요서류: https://www.sfa.gov.sg/docs/default-source/default-document-library/import-requirements-of-specific-food-products-(website-content-23-april-2020).pdf 5단계: 제품 라벨링 가이드라인 준수(Ensure labels are accurate and complete) https://www.sfa.gov.sg/docs/default-source/food-information/labelling-and-packaging-information/a-guide-to-food-labelling-and-advertisements.pdf,-,-
